Timestamp[ms],PWM_motor,PWM_elevon,Rate_x[deg/s],Rate_y[deg/s],Rate_z[deg/s]
1588,0,0,7,-2,-2
1589,0,0,7,-2,-2
1590,0,0,7,-2,-2
1591,0,0,7,-2,-2
1592,0,0,7,-2,-2
1593,0,0,7,-2,-2
1594,0,0,7,-2,-2
1595,0,0,7,-2,-2
1596,0,0,6,-2,-2
1597,0,0,6,-2,-2
1598,0,0,6,-2,-2
1599,0,0,6,-2,-2
1600,0,0,6,-2,-2
1601,0,0,7,-2,-2
1602,0,0,6,-2,-2
1603,0,0,6,-1,-2
1604,0,0,6,-1,-2
1605,0,0,6,-1,-2
1606,0,0,7,-2,-2
1607,0,0,7,-2,-2
1608,0,0,6,-1,-2
1609,0,0,7,-2,-2
1610,0,0,7,-2,-2
1611,0,0,7,-2,-2
1612,0,0,7,-2,-2
1616,0,0,7,-2,-2
1617,0,0,7,-2,-2
1618,0,0,7,-2,-2
1619,0,0,7,-2,-2
1620,0,0,7,-2,-2
1621,0,0,7,-2,-2
1622,0,0,7,-2,-2
1623,0,0,7,-2,-2
1624,0,0,8,-2,-2
1625,0,0,8,-2,-2
1626,0,0,8,-2,-2
1627,0,0,8,-2,-2
1628,0,0,8,-2,-2
1629,0,0,8,-2,-2
1630,0,0,8,-2,-2
1631,0,0,8,-2,-2
1632,0,0,8,-2,-2
1633,0,0,8,-2,-2
1634,0,0,7,-2,-2
1635,0,0,7,-2,-2
1636,0,0,7,-2,-2
1637,0,0,7,-2,-2
1638,0,0,7,-2,-2
1639,0,0,7,-2,-2
1640,0,0,7,-2,-2
1641,0,0,7,-2,-2
1642,0,0,7,-2,-2
1643,0,0,7,-2,-2
1647,0,0,6,-2,-2
1648,0,0,6,-2,-2
1649,0,0,6,-2,-2
1650,0,0,6,-2,-2
1651,0,0,6,-2,-2
1652,0,0,6,-2,-2
1653,0,0,6,-2,-2
1654,0,0,6,-1,-2
1655,0,0,6,-1,-2
1656,0,0,6,-1,-2
1657,0,0,6,-1,-2
1658,0,0,6,-1,-2
1659,0,0,6,-2,-2
1660,0,0,7,-2,-2
1661,0,0,7,-2,-2
1662,0,0,7,-2,-2
1663,0,0,7,-2,-2
1664,0,0,7,-2,-2
1665,0,0,7,-2,-2
1666,0,0,7,-2,-2
1667,0,0,7,-2,-2
1668,0,0,7,-2,-2
