Timestamp[ms],PWM_motor,PWM_elevon,Rate_x[deg/s],Rate_y[deg/s],Rate_z[deg/s]
0,0,0,1,-4,-1
8,0,1500,1,0,3
16,0,1508,-1,-4,2
24,0,1517,0,4,-1
33,0,1526,1,1,2
41,0,1536,0,6,3
49,0,1544,0,-2,1
57,0,1553,12,5,0
66,0,1562,26,8,2
75,0,1572,51,2,2
83,0,1581,71,12,3
91,0,1590,63,17,-1
99,0,1598,40,0,1
107,0,1607,42,7,-2
117,0,1615,97,9,6
125,0,1625,121,8,2
133,0,1633,70,9,0
141,0,1642,44,9,-1
149,0,1650,65,9,2
158,0,1657,75,-3,0
167,0,1666,54,4,-1
175,0,1675,51,-8,-3
183,0,1682,68,-6,0
191,0,1690,65,17,0
203,0,1697,36,4,-2
211,0,1708,43,7,-1
219,0,1715,84,8,-1
228,0,1722,103,-1,3
236,0,1729,75,8,-1
245,0,1736,67,20,-3
253,0,1743,90,-2,-2
261,0,1749,56,4,0
270,0,1755,-14,11,-1
278,0,1762,18,6,-2
287,0,1768,101,16,6
295,0,1774,116,-8,0
303,0,1779,42,5,1
311,0,1785,22,19,-4
320,0,1790,71,-1,6
329,0,1795,46,-7,1
337,0,1800,13,10,-2
345,0,1805,45,-6,-1
353,0,1809,74,3,-1
362,0,1813,46,1,3
371,0,1817,49,14,0
379,0,1821,70,-5,5
387,0,1825,35,7,-1
395,0,1828,7,0,-2
403,0,1831,21,5,0
415,0,1833,-1,-1,-3
424,0,1837,-10,-2,-2
432,0,1840,5,4,-1
440,0,1842,9,-5,2
448,0,1843,-3,-1,-1
457,0,1845,-7,-1,3
465,0,1846,4,-5,2
474,0,1847,6,3,1
482,0,1848,-4,7,2
490,0,1849,-3,-2,4
499,0,1849,5,-4,1
507,0,1849,5,1,2
515,0,1849,-1,4,0
524,0,1849,-1,0,0
532,0,1849,3,8,-2
541,0,1848,1,1,-2
549,0,1847,-3,-3,-2
557,0,1845,0,0,0
565,0,1844,1,-3,0
574,0,1842,1,-5,2
583,0,1840,-1,-7,1
591,0,1838,1,-4,1
599,0,1835,1,2,1
607,0,1833,0,-7,1
615,0,1830,0,0,2
625,0,1827,0,0,-1
633,0,1823,2,-4,-1
644,0,1819,0,-2,0
652,0,1814,0,6,-1
660,0,1810,1,-4,-3
669,0,1806,1,7,4
677,0,1801,-2,0,1
686,0,1797,0,-6,2
694,0,1791,1,10,0
702,0,1786,2,-1,-2
711,0,1781,0,2,-2
719,0,1775,0,-6,-1
728,0,1770,-1,1,1
736,0,1763,2,8,2
744,0,1758,0,-8,2
753,0,1752,-1,1,0
761,0,1745,0,1,-1
769,0,1738,-1,1,-3
778,0,1732,-4,6,2
786,0,1724,-13,-5,2
795,0,1717,-24,-3,0
803,0,1710,-23,2,-2
811,0,1703,-27,-5,-3
820,0,1695,-24,12,-3
828,0,1687,-27,-3,1
836,0,1680,-57,-9,0
845,0,1672,-72,5,-4
853,0,1663,-71,-9,-1
864,0,1655,-77,-4,-2
873,0,1645,-81,-10,-2
882,0,1635,-81,-7,5
890,0,1626,-89,3,2
898,0,1618,-77,-8,-4
906,0,1610,-55,-9,0
915,0,1601,-67,-13,-1
924,0,1592,-97,-9,0
932,0,1582,-52,-8,-2
940,0,1574,30,-1,2
948,0,1565,23,-6,2
956,0,1556,-82,-4,-1
