Timestamp[ms],PWM_motor,PWM_elevon,Rate_x[deg/s],Rate_y[deg/s],Rate_z[deg/s]
0,0,0,1,5,-3
8,0,1675,0,-8,3
16,0,1679,2,-2,1
24,0,1683,5,1,-1
33,0,1688,70,11,-1
41,0,1693,239,39,-1
49,0,1697,357,31,1
58,0,1701,324,-2,3
66,0,1706,170,14,-5
75,0,1711,30,22,-2
83,0,1715,56,23,1
91,0,1720,79,-14,5
99,0,1724,3,-6,3
108,0,1728,-48,7,-1
117,0,1733,-12,4,-1
125,0,1737,30,-4,-3
133,0,1741,12,6,1
141,0,1746,-13,3,1
149,0,1750,-7,8,-1
159,0,1753,55,3,3
167,0,1758,127,10,3
175,0,1762,138,2,3
183,0,1766,57,0,-3
194,0,1770,10,10,-4
203,0,1775,43,-5,1
211,0,1779,37,-3,-3
220,0,1782,3,10,-2
228,0,1786,5,2,2
236,0,1789,50,4,1
245,0,1793,51,4,2
253,0,1796,25,7,2
261,0,1799,16,12,-1
270,0,1802,40,1,-1
278,0,1806,57,-9,4
287,0,1809,30,6,0
295,0,1812,-14,4,2
303,0,1814,-17,9,-1
312,0,1817,14,2,-1
320,0,1820,32,7,1
329,0,1822,15,1,-1
337,0,1825,35,7,1
345,0,1827,77,6,4
353,0,1829,43,-1,0
362,0,1831,6,3,-1
371,0,1833,5,8,0
379,0,1835,19,-3,-3
387,0,1837,9,-3,-1
395,0,1839,-7,0,-4
403,0,1840,-4,-6,-1
415,0,1841,8,-6,-1
424,0,1843,5,6,-1
432,0,1845,-3,1,0
440,0,1846,-2,-5,-1
448,0,1846,2,-10,0
457,0,1847,2,-1,1
465,0,1848,0,-1,3
474,0,1848,-1,6,0
482,0,1849,0,-1,1
490,0,1849,2,-3,-1
499,0,1849,2,2,1
507,0,1849,-2,-4,-1
515,0,1849,2,15,-1
524,0,1849,2,12,-2
532,0,1849,10,8,-2
541,0,1849,41,-3,2
549,0,1848,32,0,2
557,0,1847,10,11,1
566,0,1847,16,10,-2
574,0,1846,65,3,-5
583,0,1845,122,5,9
591,0,1844,70,3,3
599,0,1842,-45,3,-2
607,0,1841,-51,4,-5
616,0,1840,24,-6,1
625,0,1838,35,2,5
636,0,1836,-22,8,1
644,0,1834,-17,-8,-1
652,0,1832,14,1,1
660,0,1830,15,3,-1
670,0,1828,-5,5,-1
678,0,1825,-11,5,0
686,0,1823,3,6,1
694,0,1820,10,-1,5
702,0,1818,0,3,2
711,0,1815,-8,-9,1
720,0,1812,0,-1,-1
728,0,1809,7,-5,-1
736,0,1806,2,-10,1
744,0,1804,-2,7,2
753,0,1801,-4,-2,2
762,0,1797,3,1,2
770,0,1793,4,-6,3
778,0,1790,0,1,-2
786,0,1787,-1,10,-2
795,0,1783,0,3,-4
803,0,1780,1,-3,1
812,0,1776,1,-2,-2
820,0,1772,2,1,1
828,0,1768,-3,-3,1
836,0,1765,-37,-8,2
845,0,1761,-65,-10,-1
856,0,1756,-95,-16,0
865,0,1751,-72,-1,-5
873,0,1747,-25,-5,3
882,0,1742,-16,-1,1
890,0,1738,-29,-7,-3
898,0,1734,-34,-5,-1
907,0,1730,-21,-1,0
915,0,1725,-9,3,2
924,0,1721,-22,0,3
932,0,1716,-44,-4,0
940,0,1712,-46,14,0
948,0,1707,-17,-4,-1
957,0,1703,-14,-12,1
966,0,1698,-50,-6,4
974,0,1693,-66,3,-4
982,0,1689,-60,-3,-4
990,0,1684,-45,8,0
999,0,1680,-38,-15,4
1008,0,1675,-50,-1,-2
1016,0,1670,-52,-2,-1
1024,0,1666,-31,1,2
1033,0,1661,-10,2,0
1041,0,1656,-23,-2,-3
1049,0,1652,-23,-15,1
1061,0,1648,-28,-2,3
1069,0,1641,-51,-11,1
1077,0,1637,-69,-1,-2
1086,0,1633,-61,3,-1
1095,0,1628,-34,-4,1
1103,0,1623,-23,-4,-1
1111,0,1619,-48,0,-1
1119,0,1615,-61,-5,-1
1128,0,1611,-38,7,2
1137,0,1606,-6,-2,0
1145,0,1601,-22,-7,-1
1153,0,1598,-64,-10,0
1161,0,1594,-67,5,0
1170,0,1590,-46,-15,0
